name,human_eq_type,location,serving,status,date,status2,date2,time_spent,nyca_id
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-29 23:08:30,FIXED,2017-03-30 00:18:46,0 days 01:10:16.000000000,133
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-29 23:08:30,FIXED,2017-03-30 00:18:46,0 days 01:10:16.000000000,133
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-29 23:08:30,FIXED,2017-03-30 00:18:46,0 days 01:10:16.000000000,133
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-31 04:48:44,FIXED,2017-03-31 05:38:53,0 days 00:50:09.000000000,133
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-31 04:48:44,FIXED,2017-03-31 05:38:53,0 days 00:50:09.000000000,133
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-31 04:48:44,FIXED,2017-03-31 05:38:53,0 days 00:50:09.000000000,133
168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-31 04:48:44,FIXED,2017-03-31 05:38:53,0 days 00:50:09.000000000,133
168th St,An elevator,,Mezzanine To Downtown,OUTAGE,2017-03-27 03:48:43,FIXED,2017-03-27 09:18:39,0 days 05:29:56.000000000,133
168th St,An elevator,,Mezzanine To Downtown,OUTAGE,2017-03-30 03:58:40,FIXED,2017-03-30 09:18:27,0 days 05:19:47.000000000,133
168th St,An elevator,SE corner of 168 Street and St. Nicholas Avenue,Street To Mezzanine,FIXED,2017-03-14 17:18:35,,,,133
168th St,An elevator,SE corner of 168 Street and St. Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-03-23 06:28:17,FIXED,2017-03-23 09:28:43,0 days 03:00:26.000000000,133
168th St,An elevator,SE corner of 168 Street and St. Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-03-29 21:58:32,FIXED,2017-03-29 22:58:40,0 days 01:00:08.000000000,133
168th St,An elevator,SE corner of 168 Street and St. Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-03-30 03:58:40,FIXED,2017-03-30 09:38:26,0 days 05:39:46.000000000,133
168th St,An elevator,SE corner of 168 Street and St. Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-03-30 13:18:37,FIXED,2017-03-30 14:58:46,0 days 01:40:09.000000000,133
168th St,An elevator,SE corner of 168 Street and St. Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-04-01 00:38:41,FIXED,2017-04-01 07:28:47,0 days 06:50:06.000000000,133
175th St,An elevator,NE corner of 177th Street and Fort Washington Avenue,Street To Mezzanine,FIXED,2017-03-14 17:18:36,,,,135
175th St,An elevator,NE corner of 177th Street and Fort Washington Avenue,Street To Mezzanine,OUTAGE,2017-03-25 06:48:33,FIXED,2017-03-25 09:58:43,0 days 03:10:10.000000000,135
175th St,An elevator,NE corner of 177th Street and Fort Washington Avenue,Street To Mezzanine,OUTAGE,2017-03-26 06:58:29,FIXED,2017-03-26 09:38:42,0 days 02:40:13.000000000,135
175th St,An elevator,NE corner of 177th Street and Fort Washington Avenue,Street To Mezzanine,OUTAGE,2017-03-27 04:38:25,FIXED,2017-03-27 07:58:33,0 days 03:20:08.000000000,135
175th St,An elevator,NE corner of 177th Street and Fort Washington Avenue,Street To Mezzanine,OUTAGE,2017-03-31 05:38:32,FIXED,2017-03-31 17:09:07,0 days 11:30:35.000000000,135
21st St - Queensbridge,An elevator,,Mezzanine To Downtown,FIXED,2017-03-14 22:48:17,,,,347
21st St - Queensbridge,An elevator,,Mezzanine To Downtown,OUTAGE,2017-03-20 01:08:34,FIXED,2017-03-20 08:38:37,0 days 07:30:03.000000000,347
21st St - Queensbridge,An elevator,,Mezzanine To Downtown,OUTAGE,2017-03-20 21:58:40,FIXED,2017-03-20 22:58:48,0 days 01:00:08.000000000,347
21st St - Queensbridge,An elevator,,Mezzanine To Downtown,OUTAGE,2017-03-25 16:28:44,FIXED,2017-03-25 17:08:49,0 days 00:40:05.000000000,347
21st St - Queensbridge,An elevator,,Mezzanine To Downtown,OUTAGE,2017-03-27 12:38:31,FIXED,2017-03-27 16:28:44,0 days 03:50:13.000000000,347
21st St - Queensbridge,An elevator,,Mezzanine To Uptown,OUTAGE,2017-03-18 22:58:43,FIXED,2017-03-19 01:08:31,0 days 02:09:48.000000000,347
21st St - Queensbridge,An elevator,NW corner of 21st Street and 41st Avenue,Street To Mezzanine,FIXED,2017-03-14 17:58:45,,,,347
21st St - Queensbridge,An elevator,NW corner of 21st Street and 41st Avenue,Street To Mezzanine,OUTAGE,2017-03-15 03:58:34,FIXED,2017-03-15 09:28:31,0 days 05:29:57.000000000,347
21st St - Queensbridge,An elevator,NW corner of 21st Street and 41st Avenue,Street To Mezzanine,OUTAGE,2017-03-16 05:38:15,FIXED,2017-03-16 07:58:33,0 days 02:20:18.000000000,347
21st St - Queensbridge,An elevator,NW corner of 21st Street and 41st Avenue,Street To Mezzanine,OUTAGE,2017-03-21 21:08:58,FIXED,2017-03-21 22:18:54,0 days 01:09:56.000000000,347
21st St - Queensbridge,An elevator,NW corner of 21st Street and 41st Avenue,Street To Mezzanine,OUTAGE,2017-03-26 23:58:27,FIXED,2017-03-27 02:08:43,0 days 02:10:16.000000000,347
21st St - Queensbridge,An elevator,NW corner of 21st Street and 41st Avenue,Street To Mezzanine,OUTAGE,2017-03-27 20:09:40,FIXED,2017-03-27 23:38:51,0 days 03:29:11.000000000,347
21st St - Queensbridge,An elevator,NW corner of 21st Street and 41st Avenue,Street To Mezzanine,OUTAGE,2017-03-29 17:08:37,FIXED,2017-03-30 00:18:45,0 days 07:10:08.000000000,347
21st St - Queensbridge,An escalator,,Mezzanine To Street,OUTAGE,2017-03-24 22:18:48,FIXED,2017-03-25 06:58:38,0 days 08:39:50.000000000,347
21st St - Queensbridge,An escalator,,Mezzanine To Street,OUTAGE,2017-03-24 22:18:48,FIXED,2017-03-25 06:58:38,0 days 08:39:50.000000000,347
21st St - Queensbridge,An escalator,,Mezzanine To Street,OUTAGE,2017-03-28 04:18:42,FIXED,2017-03-28 05:38:38,0 days 01:19:56.000000000,347
21st St - Queensbridge,An escalator,,Mezzanine To Street,OUTAGE,2017-03-28 04:18:42,FIXED,2017-03-28 05:38:38,0 days 01:19:56.000000000,347
21st St - Queensbridge,An escalator,,Mezzanine To Street,OUTAGE,2017-03-30 20:08:37,FIXED,2017-03-31 00:28:45,0 days 04:20:08.000000000,347
21st St - Queensbridge,An escalator,,Mezzanine To Street,OUTAGE,2017-03-30 20:08:37,FIXED,2017-03-31 00:28:45,0 days 04:20:08.000000000,347
21st St - Queensbridge,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-15 04:18:22,FIXED,2017-03-15 08:58:14,0 days 04:39:52.000000000,347
21st St - Queensbridge,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-15 04:18:22,FIXED,2017-03-15 08:58:14,0 days 04:39:52.000000000,347
21st St - Queensbridge,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-17 04:08:18,FIXED,2017-03-17 08:58:25,0 days 04:50:07.000000000,347
21st St - Queensbridge,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-17 04:08:18,FIXED,2017-03-17 08:58:25,0 days 04:50:07.000000000,347
21st St - Queensbridge,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-19 04:18:51,FIXED,2017-03-19 09:09:00,0 days 04:50:09.000000000,347
21st St - Queensbridge,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-19 04:18:51,FIXED,2017-03-19 09:09:00,0 days 04:50:09.000000000,347
21st St - Queensbridge,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-21 04:09:02,FIXED,2017-03-21 08:48:46,0 days 04:39:44.000000000,347
