name,human_eq_type,location,serving,status,date,status2,date2,time_spent_min,nyca_id,number_of_elevators
175th St,An elevator,NE corner of 177th Street and Fort Washington Avenue,Street To Mezzanine,OUTAGE,2017-03-25 06:48:33,FIXED,2017-03-25 09:58:43,190,135,2
175th St,An elevator,NE corner of 177th Street and Fort Washington Avenue,Street To Mezzanine,OUTAGE,2017-03-26 06:58:29,FIXED,2017-03-26 09:38:42,160,135,2
175th St,An elevator,NE corner of 177th Street and Fort Washington Avenue,Street To Mezzanine,OUTAGE,2017-03-27 04:38:25,FIXED,2017-03-27 07:58:33,200,135,2
175th St,An elevator,NE corner of 177th Street and Fort Washington Avenue,Street To Mezzanine,OUTAGE,2017-03-31 05:38:32,FIXED,2017-03-31 17:09:07,600,135,2
21st St - Queensbridge,An elevator,,Mezzanine To Downtown,OUTAGE,2017-03-20 01:08:34,FIXED,2017-03-20 08:38:37,450,347,3
21st St - Queensbridge,An elevator,,Mezzanine To Downtown,OUTAGE,2017-03-20 21:58:40,FIXED,2017-03-20 22:58:48,60,347,3
21st St - Queensbridge,An elevator,,Mezzanine To Downtown,OUTAGE,2017-03-25 16:28:44,FIXED,2017-03-25 17:08:49,40,347,3
21st St - Queensbridge,An elevator,,Mezzanine To Downtown,OUTAGE,2017-03-27 12:38:31,FIXED,2017-03-27 16:28:44,230,347,3
21st St - Queensbridge,An elevator,,Mezzanine To Uptown,OUTAGE,2017-03-18 22:58:43,FIXED,2017-03-19 01:08:31,129,347,3
21st St - Queensbridge,An elevator,NW corner of 21st Street and 41st Avenue,Street To Mezzanine,OUTAGE,2017-03-15 03:58:34,FIXED,2017-03-15 09:28:31,329,347,3
21st St - Queensbridge,An elevator,NW corner of 21st Street and 41st Avenue,Street To Mezzanine,OUTAGE,2017-03-16 05:38:15,FIXED,2017-03-16 07:58:33,140,347,3
21st St - Queensbridge,An elevator,NW corner of 21st Street and 41st Avenue,Street To Mezzanine,OUTAGE,2017-03-21 21:08:58,FIXED,2017-03-21 22:18:54,69,347,3
21st St - Queensbridge,An elevator,NW corner of 21st Street and 41st Avenue,Street To Mezzanine,OUTAGE,2017-03-26 23:58:27,FIXED,2017-03-27 02:08:43,130,347,3
21st St - Queensbridge,An elevator,NW corner of 21st Street and 41st Avenue,Street To Mezzanine,OUTAGE,2017-03-27 20:09:40,FIXED,2017-03-27 23:38:51,209,347,3
21st St - Queensbridge,An elevator,NW corner of 21st Street and 41st Avenue,Street To Mezzanine,OUTAGE,2017-03-29 17:08:37,FIXED,2017-03-30 00:18:45,430,347,3
21st St - Queensbridge,An elevator,NW corner of 21st Street and 41st Avenue,Street To Mezzanine,OUTAGE,2017-04-07 04:08:46,FIXED,2017-04-07 04:58:42,49,347,3
231st St,An elevator,SW corner of 231 Street and Broadway,Street To Mezzanine,OUTAGE,2017-03-15 00:48:25,FIXED,2017-03-15 04:58:13,249,253,2
231st St,An elevator,SW corner of 231 Street and Broadway,Street To Mezzanine,OUTAGE,2017-03-16 12:18:29,FIXED,2017-03-16 16:38:24,259,253,2
231st St,An elevator,SW corner of 231 Street and Broadway,Street To Mezzanine,OUTAGE,2017-03-19 21:28:31,FIXED,2017-03-20 01:18:42,230,253,2
231st St,An elevator,SW corner of 231 Street and Broadway,Street To Mezzanine,OUTAGE,2017-03-27 04:18:49,FIXED,2017-03-27 09:28:34,309,253,2
231st St,An elevator,SW corner of 231 Street and Broadway,Street To Mezzanine,OUTAGE,2017-03-28 03:48:40,FIXED,2017-03-28 09:09:18,320,253,2
231st St,An elevator,SW corner of 231 Street and Broadway,Street To Mezzanine,OUTAGE,2017-04-03 22:19:02,FIXED,2017-04-04 03:58:23,339,253,2
231st St,An elevator,SW corner of 231 Street and Broadway,Street To Mezzanine,OUTAGE,2017-04-04 15:29:14,FIXED,2017-04-04 17:28:51,119,253,2
