nyca_id,name,number_of_elevators,location,serving
360,Times Sq - 42nd St,4,,Street To Mezzanine All Trains
363,42nd St - Port Authority Bus Term,3,,Bus Terminal To Lower Mezzanine
363,42nd St - Port Authority Bus Term,3,,Bus Terminal To Lower Mezzanine
363,42nd St - Port Authority Bus Term,3,,Bus Terminal To Lower Mezzanine
363,42nd St - Port Authority Bus Term,3,,Mezzanine To Street
363,42nd St - Port Authority Bus Term,3,,Lower Mezzanine To Upper Mezzanine
369,Jay St - Metrotech,4,NE corner of Jay and Willoughby Streets,Street To Mezzanine
369,Jay St - Metrotech,4,,Mezzanine And Uptown
369,Jay St - Metrotech,4,,Mezzanine To Platform
369,Jay St - Metrotech,4,,Mezzanine And Downtown
369,Jay St - Metrotech,4,,Mezzanine To Street (North) Myrtle Ave
369,Jay St - Metrotech,4,,Platform To Mezzanine
369,Jay St - Metrotech,4,,Mezzanine To Street (North) Myrtle Ave
369,Jay St - Metrotech,4,,Mezzanine To Street (South) Willoughby St
369,Jay St - Metrotech,4,,Mezzanine To Street (South) Willoughby St
369,Jay St - Metrotech,4,,Mezzanine To Platform
369,Jay St - Metrotech,4,,Lower Mezzanine To Platform
373,Flushing Ave,3,SW corner of Flushing Avenue and Broadway,Street To Mezzanine
373,Flushing Ave,3,,Mezzanine To Uptown
373,Flushing Ave,3,,Mezzanine To Downtown
400,125th St,3,SW corner of 125 Street and Saint Nicholas Avenue,Street To Mezzanine
400,125th St,3,,Mezzanine And Downtown
400,125th St,3,,Mezzanine And Uptown
405,Chambers St,3,NW corner of Hudson and Chambers Streets,Street To Mezzanine
405,Chambers St,3,,Mezzanine To Uptown
405,Chambers St,3,,Mezzanine To Downtown
409,Fordham Rd,3,SE corner of Jerome Avenue and Fordham Road,Street To Mezzanine
409,Fordham Rd,3,,Mezzanine To Uptown
409,Fordham Rd,3,,Mezzanine To Downtown
414,Fulton St,19,,33 Maiden Lane To Passageway
414,Fulton St,19,,Passageway Transfer
414,Fulton St,19,,Corbin Building
414,Fulton St,19,,Transit Center
414,Fulton St,19,,Transit Center
414,Fulton St,19,,Transit Center
414,Fulton St,19,,Transit Center
414,Fulton St,19,,Lower Mezzanine To Platform
414,Fulton St,19,,4/5 & R/W Underpass
414,Fulton St,19,,Transit Center
414,Fulton St,19,,3 Landings
414,Fulton St,19,,Cortlandt St R Line
414,Fulton St,19,,Cortlandt St R Line
414,Fulton St,19,,Corbin Building
414,Fulton St,19,,Platform To Mezzanine
414,Fulton St,19,,Upper Mezzanine To Street
414,Fulton St,19,,Center Island Lower Platform To Mezzanine
414,Fulton St,19,,Transit Center
414,Fulton St,19,,Platform To Lower Mezzanine
414,Fulton St,19,,Upper Mezzanine To Street
414,Fulton St,19,,4/5 & R/W Underpass
414,Fulton St,19,,Transit Center
414,Fulton St,19,,Lower Mezzanine To Southbound Platform
414,Fulton St,19,,Corbin Building
414,Fulton St,19,,Transit Center
414,Fulton St,19,,Lower Mezzanine To Upper Mezzanine
414,Fulton St,19,,Transit Center
414,Fulton St,19,,Lower Mezzanine To Upper Mezzanine
414,Fulton St,19,,Transit Center
414,Fulton St,19,,Transit Center
420,Bowling Green,2,,Lower Mezzanine To Upper Mezzanine
420,Bowling Green,2,NE corner of Broadway and Battery Place,Street To Mezzanine & Uptown Platform
420,Bowling Green,2,,Mezzanine To Downtown
420,Bowling Green,2,,Lower Mezzanine To Upper Mezzanine
420,Bowling Green,2,,Lower Mezzanine To Upper Mezzanine
420,Bowling Green,2,,Lower Mezzanine To Upper Mezzanine
420,Bowling Green,2,,Upper Mezzanine To Street
420,Bowling Green,2,,Lower Mezzanine To Northbound Platform
420,Bowling Green,2,,Lower Mezzanine To Northbound Platform
420,Bowling Green,2,,Lower Mezzanine To Southbound Platform
420,Bowling Green,2,,Lower Mezzanine To Southbound Platform
430,Cortlandt St,19,,33 Maiden Lane To Passageway
430,Cortlandt St,19,,Passageway Transfer
430,Cortlandt St,19,,Cortlandt St R Line
430,Cortlandt St,19,,Corbin Building
430,Cortlandt St,19,,Transit Center
430,Cortlandt St,19,,Transit Center
430,Cortlandt St,19,,Lower Mezzanine To Platform
430,Cortlandt St,19,,Transit Center
430,Cortlandt St,19,,4/5 & R/W Underpass
430,Cortlandt St,19,,Cortlandt St R Line
430,Cortlandt St,19,,Corbin Building
430,Cortlandt St,19,,Transit Center
430,Cortlandt St,19,,3 Landings
430,Cortlandt St,19,,Platform To Mezzanine
430,Cortlandt St,19,,Upper Mezzanine To Street
430,Cortlandt St,19,,Platform To Lower Mezzanine
430,Cortlandt St,19,,Transit Center
430,Cortlandt St,19,,Center Island Lower Platform To Mezzanine
430,Cortlandt St,19,,4/5 & R/W Underpass
430,Cortlandt St,19,,Upper Mezzanine To Street
430,Cortlandt St,19,,Transit Center
430,Cortlandt St,19,,Transit Center
430,Cortlandt St,19,,Lower Mezzanine To Upper Mezzanine
430,Cortlandt St,19,,Transit Center
430,Cortlandt St,19,,Transit Center
430,Cortlandt St,19,,Corbin Building
430,Cortlandt St,19,,Lower Mezzanine To Southbound Platform
430,Cortlandt St,19,,Transit Center
430,Cortlandt St,19,,Lower Mezzanine To Upper Mezzanine
430,Cortlandt St,19,,Transit Center
434,Broadway - Lafayette St,5,,Downtown 6 Mezzanine To Uptown B/D/F/M Platform
434,Broadway - Lafayette St,5,North side of Houston Street between Lafayette and Crosby Streets,Street To Mezzanine And Downtown 6 Platform
434,Broadway - Lafayette St,5,,Uptown 6 Mezzanine To Downtown B/D/F/M Platform
434,Broadway - Lafayette St,5,,Uptown 6 Mezzanine To Uptown B/D/F/M Platform
434,Broadway - Lafayette St,5,,Downtown 6 Mezzanine To Downtown B/D/F/M Platform
434,Broadway - Lafayette St,5,,Northbound Platform To Mezzanine
436,Canal St,2,NE corner of Canal Street and Lafayette Street,Street To Uptown Platform
436,Canal St,2,NW corner of Canal Street and Lafayette Street,Street To Downtown Platform
438,34th St - Penn Station,4,SE corner of 34th Street and Eighth Avenue,Street To Uptown Local Platform
438,34th St - Penn Station,4,,Mezzanine To Downtown Local Platform
438,34th St - Penn Station,4,,Uptown Local Platform To Lower Mezzanine
438,34th St - Penn Station,4,,Mezzanine To Express Platform
439,Jackson Hts - Roosevelt Av,4,,Lower Mezzanine To Upper Mezzanine
439,Jackson Hts - Roosevelt Av,4,Roosevelt Avenue between 74th and 75th Streets,Middle Mezzanine To Street To Irt Mezzanine To Northbound Irt Platform(7)
439,Jackson Hts - Roosevelt Av,4,,Mezzanine To Downtown E/F/M/R
439,Jackson Hts - Roosevelt Av,4,,Mezzanine To Downtown 7
439,Jackson Hts - Roosevelt Av,4,,Lower Mezzanine To Uptown E/F/M/R Platform
439,Jackson Hts - Roosevelt Av,4,,Lower Mezzanine To Upper Mezzanine
439,Jackson Hts - Roosevelt Av,4,,Lower Mezzanine To Upper Mezzanine
439,Jackson Hts - Roosevelt Av,4,,Lower Mezzanine To Upper Mezzanine
439,Jackson Hts - Roosevelt Av,4,,Lower Mezzanine To Upper Mezzanine
445,14th St - 8 Av,5,NW corner of 14th Street and Eighth Avenue,Street To Mezzanine
445,14th St - 8 Av,5,,Mezzanine To Platform
445,14th St - 8 Av,5,,"Mezzanine To Uptown A,C&E Platform"
