"station","borough","equipmenttype","serving","ADA","line"
"Bowling Green","MN","ES","UPPER MEZZANINE TO STREET","N","4"
"Briarwood/Van Wyck Blvd","QNS","EL","STREET TO MEZZANINE","N","E"
"Brighton Beach","BKN","ES","STREET TO MEZZANINE","N","B"
"Broadway Junction","BKN","ES","STREET TO UPPER MEZZANINE","N","A"
"Broadway Junction","BKN","ES","STREET TO UPPER MEZZANINE","N","A"
"Broadway Junction","BKN","ES","STREET TO UPPER MEZZANINE","N","A"
"Broadway-Lafayette/Bleecker St","MN","EL","DOWNTOWN 6 MEZZANINE TO DOWNTOWN B/D/F/M PLATFORM","Y","B"
"Broadway-Lafayette/Bleecker St","MN","EL","DOWNTOWN 6 MEZZANINE TO UPTOWN B/D/F/M PLATFORM","Y","B"
"Broadway-Lafayette/Bleecker St","MN","ES","NORTHBOUND PLATFORM TO MEZZANINE","N","B"
"Broadway-Lafayette/Bleecker St","MN","EL","STREET TO MEZZANINE AND DOWNTOWN 6 PLATFORM","Y","B"
"Broadway-Lafayette/Bleecker St","MN","EL","UPTOWN 6 MEZZANINE TO DOWNTOWN B/D/F/M PLATFORM","Y","B"
"Broadway-Lafayette/Bleecker St","MN","EL","UPTOWN 6 MEZZANINE TO UPTOWN B/D/F/M PLATFORM","Y","B"
"Brooklyn Bridge - City Hall","MN","EL","MEZZANINE TO DOWNTOWN","Y","4"
"Brooklyn Bridge - City Hall","MN","EL","MEZZANINE TO UPTOWN","Y","4"
"Brooklyn Bridge - City Hall","MN","EL","STREET TO MEZZANINE","Y","4"
"Canal St","MN","EL","STREET TO DOWNTOWN PLATFORM","Y","J"
"Canal St","MN","EL","STREET TO UPTOWN PLATFORM","Y","6"
"Chambers St","MN","EL","MEZZANINE TO DOWNTOWN","Y","1"
"Chambers St","MN","EL","MEZZANINE TO UPTOWN","Y","1"
"Chambers St","MN","EL","STREET TO MEZZANINE","Y","1"
"Church Av","BKN","EL","MEZZANINE TO DOWNTOWN","Y","F"
"Church Av","BKN","EL","MEZZANINE TO UPTOWN","Y","F"
"Church Av","BKN","EL","STREET TO DOWNTOWN PLATFORM","Y","2"
"Church Av","BKN","EL","STREET TO MEZZANINE","Y","F"
