"text","station","borough","trainno","equipmentno","equipmenttype","serving","ADA"
NA,"42 St - Grand Central","MN","4/5/6/7/S/METRO-NORTH","EL204","EL","STREET TO TERMINAL/MEZZANINE","Y"
NA,"42 St - Grand Central","MN","4/5/6/7/S/METRO-NORTH","ES608X","ES","UNASSIGNED","N"
NA,"42 St - Grand Central","MN","4/5/6/7/S/METRO-NORTH","ES609X","ES","UNASSIGNED","N"
NA,"42 St - Grand Central","MN","4/5/6/7/S/METRO-NORTH","ES610X","ES","UNASSIGNED","N"
NA,"42 St - Grand Central","MN","4/5/6/7/S/METRO-NORTH","ES256","ES","UPPER MEZZANINE TO STREET (GC TERMINAL)","N"
NA,"42 St - Grand Central","MN","4/5/6/7/S/METRO-NORTH","ES255","ES","UPPER MEZZANINE TO STREET (GC TERMINAL)","N"
NA,"42 St - Port Authority Bus Terminal","MN","A/C/E","EL289X","EL","BUS TERMINAL TO LOWER MEZZANINE","Y"
NA,"42 St - Port Authority Bus Terminal","MN","A/C/E","EL288X","EL","BUS TERMINAL TO LOWER MEZZANINE","Y"
NA,"42 St - Port Authority Bus Terminal","MN","A/C/E","EL290X","EL","INTERMEDIATE LANDING TO MEZZANINE","Y"
NA,"42 St - Port Authority Bus Terminal","MN","A/C/E","ES606X","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"42 St - Port Authority Bus Terminal","MN","A/C/E","ES607X","ES","MEZZANINE TO STREET","N"
NA,"42 St - Port Authority Bus Terminal","MN","A/C/E","EL291X","EL","STREET TO INTERMEDIATE LANDING","Y"
NA,"47-50 St - Rockefeller Ctr","MN","B/D/F/M","EL236","EL","MEZZANINE TO DOWNTOWN","Y"
NA,"47-50 St - Rockefeller Ctr","MN","B/D/F/M","EL235","EL","MEZZANINE TO UPTOWN","Y"
NA,"47-50 St - Rockefeller Ctr","MN","B/D/F/M","EL234","EL","STREET TO MEZZANINE","Y"
NA,"49 St","MN","N/Q/R/W","EL268X","EL","STREET TO MEZZANINE","Y"
NA,"5 Av / 53 St","MN","E/M","ES239","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N"
NA,"5 Av / 53 St","MN","E/M","ES240","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N"
NA,"5 Av / 53 St","MN","E/M","ES241","ES","SOUTHBOUND PLATFORM TO MEZZANINE (MADISON AVE)","N"
NA,"5 Av / 53 St","MN","E/M","ES242","ES","SOUTHBOUND PLATFORM TO MEZZANINE (MADISON AVE)","N"
