"station","borough","trainno","equipmentno","equipmenttype","serving","ADA"
"Grand Central - 42 St","MN","4/5/6/7/S/METRO-NORTH","ES207","ES","CENTER ISLAND PLATFORM TO LOWER MEZZANINE (WEST END)","N"
"Grand Central - 42 St","MN","4/5/6/7/S/METRO-NORTH","ES209","ES","CENTER ISLAND PLATFORM TO LOWER MEZZANINE (WEST END)","N"
"Grand Central - 42 St","MN","4/5/6/7/S/METRO-NORTH","ES203","ES","LOWER MEZZANINE TO STREET (3RD AVE)","N"
"Grand Central - 42 St","MN","4/5/6/7/S/METRO-NORTH","ES204","ES","LOWER MEZZANINE TO STREET (3RD AVE)","N"
"Grand Central - 42 St","MN","4/5/6/7/S/METRO-NORTH","ES206","ES","LOWER MEZZANINE TO UPPER MEZZANINE (BOWERY)","N"
"Grand Central - 42 St","MN","4/5/6/7/S/METRO-NORTH","ES205","ES","LOWER MEZZANINE TO UPPER MEZZANINE (BOWERY)","N"
"Grand Central - 42 St","MN","4/5/6/7/S/METRO-NORTH","ES210","ES","LOWER MEZZANINE TO UPPER MEZZANINE (WEST END)","N"
"Grand Central - 42 St","MN","4/5/6/7/S/METRO-NORTH","ES208","ES","LOWER MEZZANINE TO UPPER MEZZANINE (WEST END)","N"
"Grand Central - 42 St","MN","4/5/6/7/S/METRO-NORTH","EL244","EL","MEZZANINE TO 7 PLATFORM","Y"
"Grand Central - 42 St","MN","4/5/6/7/S/METRO-NORTH","EL205","EL","MEZZANINE TO DOWNTOWN 4,5,6 PLATFORM","Y"
"Grand Central - 42 St","MN","4/5/6/7/S/METRO-NORTH","EL206","EL","MEZZANINE TO UPTOWN 4,5,6 PLATFORM","Y"
"Grand Central - 42 St","MN","4/5/6/7/S/METRO-NORTH","EL204","EL","STREET TO TERMINAL/MEZZANINE","Y"
"Grand Central - 42 St","MN","4/5/6/7/S/METRO-NORTH","ES608X","ES","UNASSIGNED","N"
"Grand Central - 42 St","MN","4/5/6/7/S/METRO-NORTH","ES609X","ES","UNASSIGNED","N"
"Grand Central - 42 St","MN","4/5/6/7/S/METRO-NORTH","ES610X","ES","UNASSIGNED","N"
"Grand Central - 42 St","MN","4/5/6/7/S/METRO-NORTH","ES256","ES","UPPER MEZZANINE TO STREET (GC TERMINAL)","N"
"Grand Central - 42 St","MN","4/5/6/7/S/METRO-NORTH","ES255","ES","UPPER MEZZANINE TO STREET (GC TERMINAL)","N"
"42 St - Port Authority Bus Terminal","MN","A/C/E","EL289X","EL","BUS TERMINAL TO LOWER MEZZANINE","Y"
"42 St - Port Authority Bus Terminal","MN","A/C/E","EL288X","EL","BUS TERMINAL TO LOWER MEZZANINE","Y"
"42 St - Port Authority Bus Terminal","MN","A/C/E","EL290X","EL","INTERMEDIATE LANDING TO MEZZANINE","Y"
"42 St - Port Authority Bus Terminal","MN","A/C/E","ES606X","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
"42 St - Port Authority Bus Terminal","MN","A/C/E","ES607X","ES","MEZZANINE TO STREET","N"
"42 St - Port Authority Bus Terminal","MN","A/C/E","EL291X","EL","STREET TO INTERMEDIATE LANDING","Y"
"47-50 Sts - Rockefeller Ctr","MN","B/D/F/M","EL236","EL","MEZZANINE TO DOWNTOWN","Y"
"47-50 Sts - Rockefeller Ctr","MN","B/D/F/M","EL235","EL","MEZZANINE TO UPTOWN","Y"
"47-50 Sts - Rockefeller Ctr","MN","B/D/F/M","EL234","EL","STREET TO MEZZANINE","Y"
"49 St","MN","N/Q/R/W","EL268X","EL","STREET TO MEZZANINE","Y"
"5 Av/53 St","MN","E/M","ES239","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N"
"5 Av/53 St","MN","E/M","ES240","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N"
"5 Av/53 St","MN","E/M","ES241","ES","SOUTHBOUND PLATFORM TO MEZZANINE (MADISON AVE)","N"
"5 Av/53 St","MN","E/M","ES242","ES","SOUTHBOUND PLATFORM TO MEZZANINE (MADISON AVE)","N"
"50 St","MN","C/E","ES264X","ES","MEZZANINE TO E TRAIN PLATFORM","N"
"50 St","MN","C/E","EL208X","EL","PLAZA TO DOWNTOWN PLATFORMS","Y"
"50 St","MN","C/E","EL207X","EL","STREET TO MEZZANINE","Y"
"50 St","MN","C/E","ES263X","ES","STREET TO MEZZANINE","N"
"51 St","MN","6","ES252","ES","MEZZANINE TO PLATFORM","N"
"57 St - 7 Av","MN","N/Q/R/W","EL281","EL","MEZZANINE TO STREET","N"
"59 St","MN","4/5/6","ES213","ES","NORTHBOUND EXPRESS PLATFORM TO NORTHBOUND LOCAL PLATFORM","N"
"59 St","MN","4/5/6","ES211","ES","NORTHBOUND EXPRESS PLATFORM TO NORTHBOUND LOCAL PLATFORM","N"
"59 St","MN","4/5/6","ES214","ES","SOUTHBOUND EXPRESS PLATFORM TO SOUTHBOUND LOCAL PLATFORM","N"
"59 St","MN","4/5/6","ES212","ES","SOUTHBOUND EXPRESS PLATFORM TO SOUTHBOUND LOCAL PLATFORM","N"
"59 St - Columbus Circle","MN","1/A/B/C/D","EL277","EL","MEZZANINE AND DOWNTOWN","Y"
"59 St - Columbus Circle","MN","A/B/C/D","EL279","EL","MEZZANINE AND UPTOWN","Y"
"59 St - Columbus Circle","MN","1/A/B/C/D","EL278","EL","MEZZANINE AND UPTOWN","Y"
"59 St - Columbus Circle","MN","1/A/B/C/D","EL276X","EL","STREET TO MEZZANINE ALL TRAINS","Y"
"59 St - Columbus Circle","MN","1/A/B/C/D","EL280","EL","STREET TO MEZZANINE AND UPTOWN 1 PLATFORM","Y"
"Lexington Av/59 St","MN","E/M","ES253X","ES","MEZZANINE TO UNDERPASS 6 TRAIN DOWNTOWN","N"
"Woodside - 61 St","QNS","7","EL416X","EL","MEZZANINE TO DOWNTOWN","Y"
"Woodside - 61 St","QNS","7","EL418X","EL","MEZZANINE TO LIRR PLATFORM B","N"
"Woodside - 61 St","QNS","7","EL419X","EL","MEZZANINE TO LIRR PLATFORM C","N"
"Woodside - 61 St","QNS","7","EL417X","EL","MEZZANINE TO UPTOWN","Y"
"Woodside - 61 St","QNS","7","EL415X","EL","STREET TO LIRR PLATFORM A & MEZZANINE","Y"
"Woodside - 61 St","QNS","7","ES448","ES","STREET TO MEZZANINE","N"
"66 St - Lincoln Center","MN","1","EL237","EL","STREET TO MEZZANINE & UPTOWN PLATFORM","Y"
