,tweet_id,date_time,text,date,station,equipment,area,outage
3056,8.41952e+17,3/15/17 9:58,OUTAGE: An escalator servicing Street To Mezzanine @ 125th St is out of service.,2017-03-15,,escalator,street to mezzanine,True
3057,8.41949e+17,3/15/17 9:48,FIXED: An escalator @  servicing Lower Mezzanine To Upper Mezzanine is in service,2017-03-15,,escalator,,False
3058,8.41947e+17,3/15/17 9:38,"FIXED: An elevator @ Atlantic Ave servicing Middle Mezzanine To B,Q Platform is in service",2017-03-15,,elevator,,False
3059,8.41944e+17,3/15/17 9:28,FIXED: An elevator @ 125th St servicing Street To Mezzanine And Downtown Platform is in service,2017-03-15,,elevator,street to mezzanine,False
3060,8.41944e+17,3/15/17 9:28,FIXED: An elevator @ Chambers St servicing Mezzanine To Uptown is in service,2017-03-15,Chambers St,elevator,mezzanine to uptown,False
3061,8.41944e+17,3/15/17 9:28,FIXED: An elevator @ 21st St - Queensbridge (NW corner of 21st Street and 41st Avenue) servicing Street To Mezzanine is in service,2017-03-15,,elevator,street to mezzanine,False
3062,8.41944e+17,3/15/17 9:28,FIXED: An escalator @  servicing Mezzanine To Street is in service,2017-03-15,,escalator,,False
3063,8.41944e+17,3/15/17 9:28,OUTAGE: An elevator servicing Mezzanine To Uptown And Downtown Platforms @ Borough Hall is out of service.,2017-03-15,Borough Hall,elevator,mezzanine to uptown,True
3064,8.41939e+17,3/15/17 9:08,FIXED: An elevator @ Herald Sq - 34th St servicing Mezzanine To Uptown is in service,2017-03-15,,elevator,mezzanine to uptown,False
3065,8.41939e+17,3/15/17 9:08,FIXED: An elevator @ Euclid Ave (NE corner of Euclid Avenue and Pitkin Avenue) servicing Street To Mezzanine is in service,2017-03-15,Euclid Av,elevator,street to mezzanine,False
3066,8.41939e+17,3/15/17 9:08,FIXED: An escalator @ Herald Sq - 34th St servicing Mezzanine And Uptown is in service,2017-03-15,,escalator,,False
3067,8.41937e+17,3/15/17 8:58,FIXED: An elevator @ Court St servicing Lower Mezzanine To Upper Mezzanine is in service,2017-03-15,Court St,elevator,,False
3068,8.41937e+17,3/15/17 8:58,FIXED: An elevator @ 3rd Ave - 149th St (SW corner of 149th Street and Third Avenue) servicing Street To Uptown Platform is in service,2017-03-15,,elevator,,False
3069,8.41937e+17,3/15/17 8:58,FIXED: An elevator @ 125th St (NE corner of 125th Street and Lexington Avenue) servicing Street To Mezzanine is in service,2017-03-15,,elevator,street to mezzanine,False
3070,8.41937e+17,3/15/17 8:58,FIXED: An elevator @ 14th St - 8 Av servicing Mezzanine To L Platform is in service,2017-03-15,8 Av,elevator,,False
3071,8.41937e+17,3/15/17 8:58,FIXED: An escalator @ 21st St - Queensbridge servicing Southbound Platform To Mezzanine is in service,2017-03-15,,escalator,,False
3072,8.41937e+17,3/15/17 8:58,OUTAGE: An elevator servicing Mezzanine To Uptown @ Chambers St is out of service.,2017-03-15,Chambers St,elevator,mezzanine to uptown,True
3073,8.41934e+17,3/15/17 8:48,FIXED: An elevator @ Fordham Rd servicing Mezzanine To Uptown is in service,2017-03-15,Fordham Rd,elevator,mezzanine to uptown,False
3074,8.41934e+17,3/15/17 8:48,FIXED: An elevator @ 34th St - Penn Station servicing Mezzanine To Downtown Local Platform is in service,2017-03-15,,elevator,mezzanine to downtown,False
3075,8.41934e+17,3/15/17 8:48,OUTAGE: An elevator servicing Mezzanine To Uptown @ Flushing Ave is out of service.,2017-03-15,Flushing Av,elevator,mezzanine to uptown,True
3076,8.41932e+17,3/15/17 8:38,FIXED: An elevator @ Flushing Ave (SW corner of Flushing Avenue and Broadway) servicing Street To Mezzanine is in service,2017-03-15,Flushing Av,elevator,street to mezzanine,False
3077,8.41932e+17,3/15/17 8:38,FIXED: An escalator @ Jackson Hts - Roosevelt Av&amp; 74th St - Broadway servicing Lower Mezzanine To Upper Mezzanine is in service,2017-03-15,Jackson Hts - Roosevelt Av,escalator,,False
3078,8.41932e+17,3/15/17 8:38,FIXED: An escalator @ Parkchester servicing Street To Center Island Platform is in service,2017-03-15,Parkchester,escalator,,False
3079,8.41929e+17,3/15/17 8:28,FIXED: An elevator @  servicing Mezzanine To Platforms is in service,2017-03-15,,elevator,mezzanine to platform,False
3080,8.41927e+17,3/15/17 8:18,FIXED: An elevator @ Flushing Ave servicing Mezzanine To Uptown is in service,2017-03-15,Flushing Av,elevator,mezzanine to uptown,False
3081,8.41927e+17,3/15/17 8:18,FIXED: An elevator @  servicing Mezzanine To Upper Southbound Platform To Lower Northbound Platform is in service,2017-03-15,,elevator,,False
3082,8.41924e+17,3/15/17 8:08,FIXED: An escalator @ 7th Ave servicing Southbound Platform To Mezzanine is in service,2017-03-15,,escalator,,False
3083,8.41921e+17,3/15/17 7:58,OUTAGE: An elevator servicing Lower Mezzanine To Upper Mezzanine @ 168th St is out of service.,2017-03-15,,elevator,,True
3084,8.41919e+17,3/15/17 7:48,FIXED: An escalator @  servicing Mezzanine To Street Level S W is in service,2017-03-15,,escalator,,False
3085,8.41919e+17,3/15/17 7:48,FIXED: An escalator @ Lexington Ave - 63rd St servicing Mezzanine To Street is in service,2017-03-15,,escalator,,False
