,name,human_eq_type,location,serving,status,date,status2,date2,time_spent
1692,Lexington Ave - 59th St,An escalator,,Center Island Platform To Mezzanine (60st / 3rd Ave),OUTAGE,2017-03-23 04:28:44,FIXED,2017-03-23 06:38:33,0 days 02:09:49.000000000
1385,Lexington Ave - 59th St,An escalator,,Center Island Platform To Mezzanine (60st / 3rd Ave),OUTAGE,2017-03-24 16:18:42,FIXED,2017-03-24 17:38:42,0 days 01:20:00.000000000
515,Lexington Ave - 59th St,An escalator,,Mezzanine To Underpass 6 Train Downtown,OUTAGE,2017-03-30 00:48:32,FIXED,2017-03-30 17:28:46,0 days 16:40:14.000000000
3180,Lexington Ave - 63rd St,An elevator,,Mezzanine To Downtown And Downtown To Uptown Platform,FIXED,2017-03-14 16:48:31,,,
1398,Lexington Ave - 63rd St,An elevator,,Mezzanine To Downtown And Downtown To Uptown Platform,OUTAGE,2017-03-24 14:58:56,FIXED,2017-03-24 18:28:46,0 days 03:29:50.000000000
2055,Lexington Ave - 63rd St,An escalator,,Level 2 To Mezzanine,OUTAGE,2017-03-21 04:38:26,FIXED,2017-03-21 08:58:37,0 days 04:20:11.000000000
1877,Lexington Ave - 63rd St,An escalator,,Level 2 To Mezzanine,OUTAGE,2017-03-22 04:08:51,FIXED,2017-03-22 08:58:33,0 days 04:49:42.000000000
1700,Lexington Ave - 63rd St,An escalator,,Level 2 To Mezzanine,OUTAGE,2017-03-23 04:08:46,FIXED,2017-03-23 09:08:51,0 days 05:00:05.000000000
1028,Lexington Ave - 63rd St,An escalator,,Level 2 To Mezzanine,OUTAGE,2017-03-27 06:49:16,FIXED,2017-03-27 06:58:46,0 days 00:09:30.000000000
867,Lexington Ave - 63rd St,An escalator,,Level 2 To Mezzanine,OUTAGE,2017-03-28 03:58:52,FIXED,2017-03-28 08:58:44,0 days 04:59:52.000000000
670,Lexington Ave - 63rd St,An escalator,,Level 2 To Mezzanine,OUTAGE,2017-03-29 03:58:28,FIXED,2017-03-29 05:38:43,0 days 01:40:15.000000000
649,Lexington Ave - 63rd St,An escalator,,Level 2 To Mezzanine,OUTAGE,2017-03-29 06:38:35,,,
476,Lexington Ave - 63rd St,An escalator,,Level 2 To Mezzanine,OUTAGE,2017-03-30 04:18:41,FIXED,2017-03-30 08:58:41,0 days 04:40:00.000000000
3103,Lexington Ave - 63rd St,An escalator,,Level 3 To Level 2,OUTAGE,2017-03-15 02:28:17,FIXED,2017-03-15 04:48:15,0 days 02:19:58.000000000
2925,Lexington Ave - 63rd St,An escalator,,Level 3 To Level 2,OUTAGE,2017-03-15 22:48:26,FIXED,2017-03-16 00:48:23,0 days 01:59:57.000000000
1270,Lexington Ave - 63rd St,An escalator,,Level 3 To Level 2,OUTAGE,2017-03-25 07:38:43,FIXED,2017-03-25 08:18:30,0 days 00:39:47.000000000
1227,Lexington Ave - 63rd St,An escalator,,Level 3 To Level 2,OUTAGE,2017-03-25 16:48:43,,,
658,Lexington Ave - 63rd St,An escalator,,Level 3 To Level 2,OUTAGE,2017-03-29 05:08:34,FIXED,2017-03-29 06:18:33,0 days 01:09:59.000000000
3065,Lexington Ave - 63rd St,An escalator,,Mezzanine To Street,OUTAGE,2017-03-15 05:28:32,FIXED,2017-03-15 07:48:17,0 days 02:19:45.000000000
2528,Lexington Ave - 63rd St,An escalator,,Mezzanine To Street,OUTAGE,2017-03-18 04:08:41,FIXED,2017-03-18 08:58:30,0 days 04:49:49.000000000
2388,Lexington Ave - 63rd St,An escalator,,Mezzanine To Street,OUTAGE,2017-03-19 04:08:52,FIXED,2017-03-19 08:18:44,0 days 04:09:52.000000000
2198,Lexington Ave - 63rd St,An escalator,,Mezzanine To Street,OUTAGE,2017-03-20 12:18:48,FIXED,2017-03-20 15:28:55,0 days 03:10:07.000000000
2178,Lexington Ave - 63rd St,An escalator,,Mezzanine To Street,OUTAGE,2017-03-20 15:48:33,,,
2050,Lexington Ave - 63rd St,An escalator,,Mezzanine To Street,OUTAGE,2017-03-21 05:08:56,FIXED,2017-03-21 05:38:28,0 days 00:29:32.000000000
1784,Lexington Ave - 63rd St,An escalator,,Mezzanine To Street,OUTAGE,2017-03-22 15:48:38,FIXED,2017-03-22 19:18:46,0 days 03:30:08.000000000
1582,Lexington Ave - 63rd St,An escalator,,Mezzanine To Street,OUTAGE,2017-03-23 14:48:47,FIXED,2017-03-23 18:48:57,0 days 04:00:10.000000000
1045,Lexington Ave - 63rd St,An escalator,,Mezzanine To Street,OUTAGE,2017-03-27 04:18:49,FIXED,2017-03-27 09:18:40,0 days 04:59:51.000000000
2824,Lexington Ave - 63rd St,An escalator,,Northbound Platform To Upper Platform,OUTAGE,2017-03-16 12:48:19,FIXED,2017-03-16 13:38:24,0 days 00:50:05.000000000
1696,Lexington Ave - 63rd St,An escalator,,Northbound Platform To Upper Platform,OUTAGE,2017-03-23 04:18:49,FIXED,2017-03-23 08:48:45,0 days 04:29:56.000000000
1530,Lexington Ave - 63rd St,An escalator,,Northbound Platform To Upper Platform,OUTAGE,2017-03-23 23:28:38,FIXED,2017-03-24 03:58:45,0 days 04:30:07.000000000
1488,Lexington Ave - 63rd St,An escalator,,Northbound Platform To Upper Platform,OUTAGE,2017-03-24 04:18:51,FIXED,2017-03-24 08:58:48,0 days 04:39:57.000000000
1033,Lexington Ave - 63rd St,An escalator,,Northbound Platform To Upper Platform,OUTAGE,2017-03-27 06:08:59,FIXED,2017-03-27 06:49:16,0 days 00:40:17.000000000
738,Lexington Ave - 63rd St,An escalator,,Northbound Platform To Upper Platform,OUTAGE,2017-03-28 21:09:19,FIXED,2017-03-28 22:28:56,0 days 01:19:37.000000000
1816,Lexington Ave - 63rd St,An escalator,,Southbound Platform To Level 3,OUTAGE,2017-03-22 12:18:41,FIXED,2017-03-22 15:28:48,0 days 03:10:07.000000000
1125,Lexington Ave - 63rd St,An escalator,,Southbound Platform To Level 3,OUTAGE,2017-03-26 13:38:44,FIXED,2017-03-26 15:09:15,0 days 01:30:31.000000000
661,Lexington Ave - 63rd St,An escalator,,Southbound Platform To Level 3,OUTAGE,2017-03-29 04:58:32,FIXED,2017-03-29 05:58:39,0 days 01:00:07.000000000
1768,Marcy Ave,An elevator,Corner of Marcy Avenue and Broadway,Street To Mezzanine &amp; Uptown Platform,OUTAGE,2017-03-22 18:09:34,FIXED,2017-03-22 20:59:03,0 days 02:49:29.000000000
3155,Marcy Ave,An elevator,Corner of Marcy Avenue and Broadway,Street To Mezzanine And Downtown Platform,FIXED,2017-03-14 19:58:36,,,
3077,Myrtle - Wyckoff Ave,An elevator,,Mezzanine To Platform,OUTAGE,2017-03-15 04:38:23,FIXED,2017-03-15 06:48:34,0 days 02:10:11.000000000
2823,Myrtle - Wyckoff Ave,An elevator,,Mezzanine To Platform,OUTAGE,2017-03-16 12:48:20,FIXED,2017-03-16 18:58:39,0 days 06:10:19.000000000
2673,Myrtle - Wyckoff Ave,An elevator,,Mezzanine To Platform,OUTAGE,2017-03-17 06:38:33,FIXED,2017-03-17 16:48:32,0 days 10:09:59.000000000
2536,Myrtle - Wyckoff Ave,An elevator,,Mezzanine To Platform,OUTAGE,2017-03-18 03:38:23,FIXED,2017-03-18 07:38:25,0 days 04:00:02.000000000
2132,Myrtle - Wyckoff Ave,An elevator,,Mezzanine To Platform,OUTAGE,2017-03-20 21:18:25,FIXED,2017-03-20 23:48:46,0 days 02:30:21.000000000
785,Myrtle - Wyckoff Ave,An elevator,,Mezzanine To Platform,OUTAGE,2017-03-28 14:48:27,FIXED,2017-03-28 16:58:40,0 days 02:10:13.000000000
3076,Myrtle - Wyckoff Ave,An elevator,,Transfer Passageway Mezzanine To Platform,OUTAGE,2017-03-15 04:48:15,FIXED,2017-03-15 07:28:16,0 days 02:40:01.000000000
2799,Myrtle - Wyckoff Ave,An elevator,,Transfer Passageway Mezzanine To Platform,OUTAGE,2017-03-16 16:08:35,FIXED,2017-03-16 22:38:41,0 days 06:30:06.000000000
2130,Myrtle - Wyckoff Ave,An elevator,Intersection of Myrtle/Wyckoff Avenues (Inside station house),,FIXED,2017-03-20 21:18:27,FIXED,2017-03-28 08:48:40,7 days 11:30:13.000000000
2161,Myrtle - Wyckoff Ave,An elevator,Intersection of Myrtle/Wyckoff Avenues (Inside station house),Street To Mezzanine And M Transfer Passageway,OUTAGE,2017-03-20 19:08:54,,,
865,Myrtle - Wyckoff Ave,An elevator,Intersection of Myrtle/Wyckoff Avenues (Inside station house),Street To Mezzanine And M Transfer Passageway,OUTAGE,2017-03-28 04:09:04,,,
668,Myrtle - Wyckoff Ave,An elevator,Intersection of Myrtle/Wyckoff Avenues (Inside station house),Street To Mezzanine And M Transfer Passageway,OUTAGE,2017-03-29 04:08:48,,,
2786,Myrtle - Wyckoff Ave,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-16 17:28:29,FIXED,2017-03-16 18:48:18,0 days 01:19:49.000000000
2634,Myrtle - Wyckoff Ave,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-17 14:18:26,FIXED,2017-03-17 18:08:59,0 days 03:50:33.000000000
2574,Myrtle - Wyckoff Ave,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-17 22:18:23,,,
2213,Myrtle - Wyckoff Ave,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-20 09:58:21,FIXED,2017-03-20 12:28:25,0 days 02:30:04.000000000
1799,Myrtle - Wyckoff Ave,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-22 14:28:46,FIXED,2017-03-22 16:38:25,0 days 02:09:39.000000000
1586,Myrtle - Wyckoff Ave,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-23 13:38:51,FIXED,2017-03-23 14:18:26,0 days 00:39:35.000000000
1487,Myrtle - Wyckoff Ave,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-24 04:18:51,FIXED,2017-03-24 09:08:38,0 days 04:49:47.000000000
1226,Myrtle - Wyckoff Ave,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-25 16:48:43,FIXED,2017-03-25 18:08:42,0 days 01:19:59.000000000
1161,Myrtle - Wyckoff Ave,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-26 05:08:32,FIXED,2017-03-26 08:28:21,0 days 03:19:49.000000000
1105,Myrtle - Wyckoff Ave,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-26 20:08:54,FIXED,2017-03-26 21:38:36,0 days 01:29:42.000000000
800,Myrtle - Wyckoff Ave,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-28 11:18:26,FIXED,2017-03-28 14:09:01,0 days 02:50:35.000000000
162,Myrtle - Wyckoff Ave,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-31 16:08:55,FIXED,2017-04-01 00:58:58,0 days 08:50:03.000000000
2594,Norwood - 205th St,An escalator,,Center Island Platform To Mezzanine,OUTAGE,2017-03-17 19:58:28,FIXED,2017-03-17 23:38:18,0 days 03:39:50.000000000
2071,Norwood - 205th St,An escalator,,Center Island Platform To Mezzanine,OUTAGE,2017-03-21 03:38:38,FIXED,2017-03-21 08:58:37,0 days 05:19:59.000000000
2259,Park Pl,An escalator,,Center Island Platform To Mezzanine,OUTAGE,2017-03-20 03:48:38,FIXED,2017-03-20 09:08:26,0 days 05:19:48.000000000
1801,Park Pl,An escalator,,Center Island Platform To Mezzanine,OUTAGE,2017-03-22 13:58:57,FIXED,2017-03-22 16:38:25,0 days 02:39:28.000000000
1485,Park Pl,An escalator,,Center Island Platform To Mezzanine,OUTAGE,2017-03-24 04:28:48,FIXED,2017-03-24 05:38:30,0 days 01:09:42.000000000
1109,Park Pl,An escalator,,Center Island Platform To Mezzanine,OUTAGE,2017-03-26 18:38:53,FIXED,2017-03-26 21:58:47,0 days 03:19:54.000000000
1021,Park Pl,An escalator,,Center Island Platform To Mezzanine,OUTAGE,2017-03-27 07:58:33,,,
791,Park Pl,An escalator,,Center Island Platform To Mezzanine,OUTAGE,2017-03-28 13:28:40,FIXED,2017-03-28 21:48:32,0 days 08:19:52.000000000
470,Park Pl,An escalator,,Center Island Platform To Mezzanine,OUTAGE,2017-03-30 04:28:41,FIXED,2017-03-30 06:28:36,0 days 01:59:55.000000000
252,Park Pl,An escalator,,Center Island Platform To Mezzanine,OUTAGE,2017-03-31 04:48:48,FIXED,2017-03-31 07:38:25,0 days 02:49:37.000000000
3058,Parkchester,An escalator,,Street To Center Island Platform,OUTAGE,2017-03-15 06:28:38,FIXED,2017-03-15 08:38:19,0 days 02:09:41.000000000
2750,Parkchester,An escalator,,Street To Center Island Platform,OUTAGE,2017-03-16 20:48:35,FIXED,2017-03-17 06:38:33,0 days 09:49:58.000000000
2344,Parkchester,An escalator,,Street To Center Island Platform,OUTAGE,2017-03-19 10:09:26,FIXED,2017-03-19 12:38:52,0 days 02:29:26.000000000
2210,Parkchester,An escalator,,Street To Center Island Platform,OUTAGE,2017-03-20 10:28:24,FIXED,2017-03-20 11:48:40,0 days 01:20:16.000000000
2043,Parkchester,An escalator,,Street To Center Island Platform,OUTAGE,2017-03-21 05:48:39,FIXED,2017-03-21 10:38:34,0 days 04:49:55.000000000
948,Parkchester,An escalator,,Street To Center Island Platform,OUTAGE,2017-03-27 18:18:58,FIXED,2017-03-28 01:09:14,0 days 06:50:16.000000000
603,Parkchester,An escalator,,Street To Center Island Platform,OUTAGE,2017-03-29 12:58:40,FIXED,2017-03-29 15:48:47,0 days 02:50:07.000000000
271,Pelham Bay Park,An elevator,,Mezzanine To Platform,OUTAGE,2017-03-31 03:28:44,FIXED,2017-03-31 09:28:22,0 days 05:59:38.000000000
73,Pelham Bay Park,An elevator,,Mezzanine To Platform,OUTAGE,2017-04-01 04:18:47,FIXED,2017-04-01 09:18:40,0 days 04:59:53.000000000
2158,Pelham Bay Park,An escalator,,Center Island Platform To Street,OUTAGE,2017-03-20 19:28:48,FIXED,2017-03-21 01:18:36,0 days 05:49:48.000000000
1919,Pelham Bay Park,An escalator,,Center Island Platform To Street,OUTAGE,2017-03-21 23:09:02,FIXED,2017-03-21 23:58:52,0 days 00:49:50.000000000
1757,Pelham Bay Park,An escalator,,Center Island Platform To Street,OUTAGE,2017-03-22 19:38:35,FIXED,2017-03-23 00:48:43,0 days 05:10:08.000000000
3098,Pelham Bay Park,An escalator,,Mezzanine To Street,OUTAGE,2017-03-15 02:48:34,FIXED,2017-03-31 06:58:34,16 days 04:10:00.000000000
86,Pelham Bay Park,An escalator,,Mezzanine To Street,OUTAGE,2017-04-01 02:58:41,FIXED,2017-04-01 05:58:42,0 days 03:00:01.000000000
1293,Pelham Pkwy,An elevator,,Mezzanine To Downtown,OUTAGE,2017-03-25 04:18:47,FIXED,2017-03-25 09:38:46,0 days 05:19:59.000000000
2820,Pelham Pkwy,An elevator,,Mezzanine To Uptown,OUTAGE,2017-03-16 13:38:22,FIXED,2017-03-16 16:48:27,0 days 03:10:05.000000000
2686,Pelham Pkwy,An elevator,,Mezzanine To Uptown,OUTAGE,2017-03-17 04:58:37,FIXED,2017-03-17 08:08:34,0 days 03:09:57.000000000
1811,Pelham Pkwy,An elevator,SW corner of Pelham Parkway and White Plains Road,Street To Mezzanine,OUTAGE,2017-03-22 12:58:49,FIXED,2017-03-22 17:28:50,0 days 04:30:01.000000000
1546,Pelham Pkwy,An elevator,SW corner of Pelham Parkway and White Plains Road,Street To Mezzanine,OUTAGE,2017-03-23 21:28:27,FIXED,2017-03-24 01:38:56,0 days 04:10:29.000000000
1414,Pelham Pkwy,An elevator,SW corner of Pelham Parkway and White Plains Road,Street To Mezzanine,OUTAGE,2017-03-24 12:38:49,FIXED,2017-03-24 14:59:10,0 days 02:20:21.000000000
310,Pelham Pkwy,An elevator,SW corner of Pelham Parkway and White Plains Road,Street To Mezzanine,OUTAGE,2017-03-30 21:58:45,,,
475,Pelham Pkwy,An escalator,,Mezzanine To Southbound Platform,OUTAGE,2017-03-30 04:18:41,FIXED,2017-03-30 08:58:40,0 days 04:39:59.000000000
851,Pelham Pkwy,An escalator,,Street To Mezzanine,OUTAGE,2017-03-28 04:58:50,FIXED,2017-03-28 08:28:44,0 days 03:29:54.000000000
2629,President St,An escalator,,Center Island Platform To Mezzanine,OUTAGE,2017-03-17 14:48:18,FIXED,2017-03-17 18:48:43,0 days 04:00:25.000000000
2383,President St,An escalator,,Center Island Platform To Mezzanine,OUTAGE,2017-03-19 04:48:32,FIXED,2017-03-19 09:09:01,0 days 04:20:29.000000000
2247,President St,An escalator,,Center Island Platform To Mezzanine,OUTAGE,2017-03-20 05:08:57,FIXED,2017-03-20 06:08:50,0 days 00:59:53.000000000
1063,President St,An escalator,,Center Island Platform To Mezzanine,OUTAGE,2017-03-27 02:18:21,FIXED,2017-03-27 05:48:24,0 days 03:30:03.000000000
239,Prospect Park,An elevator,Lincoln Road between Flatbush Avenue and Ocean Avenue,,OUTAGE,2017-03-31 05:38:34,,,
3178,Prospect Park,An elevator,Lincoln Road between Flatbush Avenue and Ocean Avenue,Street To Uptown Platform,FIXED,2017-03-14 16:58:22,,,
1315,Queens Plz,An elevator,,Mezzanine To Uptown,OUTAGE,2017-03-25 01:48:27,FIXED,2017-03-30 20:48:33,5 days 19:00:06.000000000
3142,Queens Plz,An elevator,Corner of Queens Plaza South and Jackson Avenue,Street To Mezzanine,FIXED,2017-03-14 20:48:35,,,
3014,Queens Plz,An elevator,Corner of Queens Plaza South and Jackson Avenue,Street To Mezzanine,OUTAGE,2017-03-15 11:18:21,FIXED,2017-03-15 16:38:21,0 days 05:20:00.000000000
2812,Queens Plz,An elevator,Corner of Queens Plaza South and Jackson Avenue,Street To Mezzanine,OUTAGE,2017-03-16 14:48:35,FIXED,2017-03-16 16:18:15,0 days 01:29:40.000000000
2598,Queens Plz,An elevator,Corner of Queens Plaza South and Jackson Avenue,Street To Mezzanine,OUTAGE,2017-03-17 19:38:18,FIXED,2017-03-17 23:58:18,0 days 04:20:00.000000000
1774,Queens Plz,An elevator,Corner of Queens Plaza South and Jackson Avenue,Street To Mezzanine,OUTAGE,2017-03-22 17:09:22,FIXED,2017-03-22 17:38:57,0 days 00:29:35.000000000
863,Queens Plz,An elevator,Corner of Queens Plaza South and Jackson Avenue,Street To Mezzanine,OUTAGE,2017-03-28 04:09:04,FIXED,2017-03-28 08:09:30,0 days 04:00:26.000000000
546,Queens Plz,An elevator,Corner of Queens Plaza South and Jackson Avenue,Street To Mezzanine,OUTAGE,2017-03-29 20:18:41,FIXED,2017-03-29 23:08:30,0 days 02:49:49.000000000
292,Queens Plz,An elevator,Corner of Queens Plaza South and Jackson Avenue,Street To Mezzanine,OUTAGE,2017-03-31 00:18:42,FIXED,2017-03-31 08:48:36,0 days 08:29:54.000000000
2957,Rockaway Park - Beach 116 St,An elevator,,Unknown,FIXED,2017-03-15 18:18:27,,,
2679,Roosevelt Island,An elevator,,Street To Downtown Platform,OUTAGE,2017-03-17 05:48:23,FIXED,2017-03-17 06:48:20,0 days 00:59:57.000000000
644,Roosevelt Island,An elevator,,Street To Downtown Platform,OUTAGE,2017-03-29 07:58:45,FIXED,2017-03-29 09:18:50,0 days 01:20:05.000000000
2488,Roosevelt Island,An escalator,,Center Mezzanine To Street,OUTAGE,2017-03-18 09:18:21,FIXED,2017-03-18 10:18:48,0 days 01:00:27.000000000
195,Roosevelt Island,An escalator,,Center Mezzanine To Street,OUTAGE,2017-03-31 12:18:48,FIXED,2017-03-31 15:58:32,0 days 03:39:44.000000000
3,Roosevelt Island,An escalator,,Center Mezzanine To Street,OUTAGE,2017-04-01 14:28:50,,,
2883,Roosevelt Island,An escalator,,Center Mezzanine To Upper Mezzanine,OUTAGE,2017-03-16 04:58:17,FIXED,2017-03-16 08:58:20,0 days 04:00:03.000000000
2487,Roosevelt Island,An escalator,,Center Mezzanine To Upper Mezzanine,OUTAGE,2017-03-18 09:18:21,FIXED,2017-03-18 10:18:49,0 days 01:00:28.000000000
3115,Roosevelt Island,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-15 00:28:15,FIXED,2017-03-15 03:48:29,0 days 03:20:14.000000000
2680,Roosevelt Island,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-17 05:48:23,FIXED,2017-03-17 06:38:34,0 days 00:50:11.000000000
2486,Roosevelt Island,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-18 09:18:22,FIXED,2017-03-18 10:18:49,0 days 01:00:27.000000000
2157,Roosevelt Island,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-20 19:28:49,FIXED,2017-03-20 22:28:48,0 days 02:59:59.000000000
1812,Roosevelt Island,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-22 12:38:25,FIXED,2017-03-22 14:38:25,0 days 02:00:00.000000000
1349,Roosevelt Island,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-24 20:58:19,FIXED,2017-03-25 00:28:30,0 days 03:30:11.000000000
1213,Roosevelt Island,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-25 18:58:48,FIXED,2017-03-25 20:28:26,0 days 01:29:38.000000000
961,Roosevelt Island,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-27 16:18:28,FIXED,2017-03-27 18:58:32,0 days 02:40:04.000000000
850,Roosevelt Island,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-28 04:58:50,,,
721,Roosevelt Island,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-28 22:48:47,FIXED,2017-03-29 00:38:41,0 days 01:49:54.000000000
192,Roosevelt Island,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-31 12:48:54,FIXED,2017-03-31 15:58:32,0 days 03:09:38.000000000
60,Roosevelt Island,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-04-01 05:08:30,FIXED,2017-04-01 05:38:35,0 days 00:30:05.000000000
2722,Roosevelt Island,An escalator,,Northbound Platform To Lower Mezzanine,OUTAGE,2017-03-16 23:58:24,FIXED,2017-03-17 00:48:32,0 days 00:50:08.000000000
2526,Roosevelt Island,An escalator,,Northbound Platform To Lower Mezzanine,OUTAGE,2017-03-18 04:18:25,FIXED,2017-03-18 06:08:38,0 days 01:50:13.000000000
2069,Roosevelt Island,An escalator,,Northbound Platform To Lower Mezzanine,OUTAGE,2017-03-21 03:48:36,FIXED,2017-03-21 04:58:44,0 days 01:10:08.000000000
1912,Roosevelt Island,An escalator,,Northbound Platform To Lower Mezzanine,OUTAGE,2017-03-22 00:48:22,FIXED,2017-03-22 05:48:48,0 days 05:00:26.000000000
87,Roosevelt Island,An escalator,,Northbound Platform To Lower Mezzanine,OUTAGE,2017-04-01 02:28:29,FIXED,2017-04-01 04:38:36,0 days 02:10:07.000000000
3114,Roosevelt Island,An escalator,,Southbound Platform To Lower Mezzanine,OUTAGE,2017-03-15 00:28:16,FIXED,2017-03-15 03:58:34,0 days 03:30:18.000000000
1604,Roosevelt Island,An escalator,,Southbound Platform To Lower Mezzanine,OUTAGE,2017-03-23 10:48:55,FIXED,2017-03-23 10:58:32,0 days 00:09:37.000000000
1351,Roosevelt Island,An escalator,,Southbound Platform To Lower Mezzanine,OUTAGE,2017-03-24 20:28:33,FIXED,2017-03-24 23:58:20,0 days 03:29:47.000000000
866,Roosevelt Island,An escalator,,Southbound Platform To Lower Mezzanine,OUTAGE,2017-03-28 03:58:52,FIXED,2017-03-28 06:08:56,0 days 02:10:04.000000000
704,Roosevelt Island,An escalator,,Southbound Platform To Lower Mezzanine,OUTAGE,2017-03-29 00:38:33,FIXED,2017-03-29 07:58:45,0 days 07:20:12.000000000
2689,Roosevelt Island,An escalator,,Upper Mezzanine To Street,OUTAGE,2017-03-17 04:48:33,FIXED,2017-03-17 05:48:24,0 days 00:59:51.000000000
2605,Roosevelt Island,An escalator,,Upper Mezzanine To Street,OUTAGE,2017-03-17 18:48:42,FIXED,2017-03-17 20:38:38,0 days 01:49:56.000000000
2489,Roosevelt Island,An escalator,,Upper Mezzanine To Street,OUTAGE,2017-03-18 09:18:21,FIXED,2017-03-18 10:18:48,0 days 01:00:27.000000000
2054,Roosevelt Island,An escalator,,Upper Mezzanine To Street,OUTAGE,2017-03-21 04:38:27,FIXED,2017-03-21 05:09:00,0 days 00:30:33.000000000
1319,Roosevelt Island,An escalator,,Upper Mezzanine To Street,OUTAGE,2017-03-25 01:38:44,FIXED,2017-03-25 01:58:20,0 days 00:19:36.000000000
857,Roosevelt Island,An escalator,,Upper Mezzanine To Street,OUTAGE,2017-03-28 04:28:47,FIXED,2017-03-28 04:58:51,0 days 00:30:04.000000000
66,Roosevelt Island,An escalator,,Upper Mezzanine To Street,OUTAGE,2017-04-01 04:48:23,FIXED,2017-04-01 04:58:44,0 days 00:10:21.000000000
3138,Simpson St,An elevator,NW corner of Simpson Street and Westchester Avenue,,FIXED,2017-03-14 21:08:52,FIXED,2017-03-15 16:58:35,0 days 19:49:43.000000000
2467,Simpson St,An elevator,NW corner of Simpson Street and Westchester Avenue,,OUTAGE,2017-03-18 11:08:38,FIXED,2017-03-20 23:58:56,2 days 12:50:18.000000000
1313,Simpson St,An elevator,NW corner of Simpson Street and Westchester Avenue,,OUTAGE,2017-03-25 01:58:19,,,
1219,Simpson St,An elevator,NW corner of Simpson Street and Westchester Avenue,,OUTAGE,2017-03-25 17:28:35,FIXED,2017-04-01 01:28:44,6 days 08:00:09.000000000
3013,Simpson St,An elevator,NW corner of Simpson Street and Westchester Avenue,Street To Mezzanine And Downtown Platform,OUTAGE,2017-03-15 11:18:22,,,
2907,Simpson St,An elevator,NW corner of Simpson Street and Westchester Avenue,Street To Mezzanine And Downtown Platform,OUTAGE,2017-03-16 02:48:25,,,
2746,Simpson St,An elevator,NW corner of Simpson Street and Westchester Avenue,Street To Mezzanine And Downtown Platform,OUTAGE,2017-03-16 21:18:30,,,
2649,Simpson St,An elevator,NW corner of Simpson Street and Westchester Avenue,Street To Mezzanine And Downtown Platform,OUTAGE,2017-03-17 09:28:15,FIXED,2017-03-18 09:18:25,0 days 23:50:10.000000000
2150,Simpson St,An elevator,NW corner of Simpson Street and Westchester Avenue,Street To Mezzanine And Downtown Platform,OUTAGE,2017-03-20 19:58:30,,,
1810,Simpson St,An elevator,NW corner of Simpson Street and Westchester Avenue,Street To Mezzanine And Downtown Platform,OUTAGE,2017-03-22 12:58:49,FIXED,2017-03-25 08:38:46,2 days 19:39:57.000000000
97,Simpson St,An elevator,NW corner of Simpson Street and Westchester Avenue,Street To Mezzanine And Downtown Platform,OUTAGE,2017-04-01 00:58:50,,,
2671,Simpson St,An elevator,SE corner of Simpson Street and Westchester Avenue,,FIXED,2017-03-17 06:38:33,FIXED,2017-03-17 10:58:28,0 days 04:19:55.000000000
2547,Simpson St,An elevator,SE corner of Simpson Street and Westchester Avenue,,OUTAGE,2017-03-18 02:28:23,FIXED,2017-03-18 02:38:27,0 days 00:10:04.000000000
3148,Simpson St,An elevator,SE corner of Simpson Street and Westchester Avenue,Street To Mezzanine &amp; Uptown Platform,FIXED,2017-03-14 20:28:38,,,
2713,Simpson St,An elevator,SE corner of Simpson Street and Westchester Avenue,Street To Mezzanine &amp; Uptown Platform,OUTAGE,2017-03-17 01:58:12,,,
2299,Simpson St,An elevator,SE corner of Simpson Street and Westchester Avenue,Street To Mezzanine &amp; Uptown Platform,OUTAGE,2017-03-19 20:10:06,,,
