nyca_id,name,location,serving
352,Lexington Ave - 63rd St,,Level 3 To Level 2
352,Lexington Ave - 63rd St,,Southbound Platform To Level 3
352,Lexington Ave - 63rd St,,Northbound Platform To Upper Platform
352,Lexington Ave - 63rd St,,Mezzanine To Street
352,Lexington Ave - 63rd St,,Northbound Platform To Upper Platform
353,Roosevelt Island,,Street To Uptown Platform
353,Roosevelt Island,,Street To Downtown Platform
353,Roosevelt Island,,Upper Mezzanine To Street
353,Roosevelt Island,,Northbound Platform To Lower Mezzanine
353,Roosevelt Island,,Southbound Platform To Lower Mezzanine
353,Roosevelt Island,,Center Mezzanine To Street
353,Roosevelt Island,,Lower Mezzanine To Upper Mezzanine
353,Roosevelt Island,,Center Mezzanine To Upper Mezzanine
353,Roosevelt Island,,Southbound Platform To Lower Mezzanine
353,Roosevelt Island,,Upper Mezzanine To Street
353,Roosevelt Island,,Northbound Platform To Lower Mezzanine
353,Roosevelt Island,,Lower Mezzanine To Upper Mezzanine
354,59th St - Columbus Circle,Northwest corner of Columbus Circle and Central Park West,Street To Mezzanine And Uptown 1 Platform
354,59th St - Columbus Circle,Southwest corner of 8th Av and Columbus Circle,Street To Mezzanine All Trains
354,59th St - Columbus Circle,,Mezzanine And Uptown
354,59th St - Columbus Circle,,Mezzanine And Downtown
354,59th St - Columbus Circle,,Mezzanine And Uptown
354,59th St - Columbus Circle,,Street To Mezzanine All Trains
354,59th St - Columbus Circle,,3 Landings
354,59th St - Columbus Circle,,Street To Mezzanine All Trains
359,34th St - Penn Station,,Mezzanine To Downtown Local Platform
359,34th St - Penn Station,,Mezzanine To Express Platform
359,34th St - Penn Station,,Mezzanine To Uptown Local Platform
360,Times Sq - 42nd St,,Street To Mezzanine All Trains
360,Times Sq - 42nd St,,"Mezzanine And Uptown 1,2,3 Trains Platform"
360,Times Sq - 42nd St,,Mezzanine To Downtown Platform & 7 Platform
360,Times Sq - 42nd St,,Mezzanine To Downtown
360,Times Sq - 42nd St,,Mezzanine To Uptown
360,Times Sq - 42nd St,,Center Island Platform To Mezzanine (41 St / 7 Ave)
360,Times Sq - 42nd St,,Center Island Platform To Mezzanine (41 St / 7 Ave)
360,Times Sq - 42nd St,,Street To Mezzanine All Trains
360,Times Sq - 42nd St,,Street To Mezzanine All Trains
360,Times Sq - 42nd St,,Street To Mezzanine All Trains
360,Times Sq - 42nd St,,Center Island Platform To Mezzanine (41 St / Bway)
363,42nd St - Port Authority Bus Term,,Mezzanine To Street
363,42nd St - Port Authority Bus Term,,Bus Terminal To Lower Mezzanine
363,42nd St - Port Authority Bus Term,,Bus Terminal To Lower Mezzanine
363,42nd St - Port Authority Bus Term,,Bus Terminal To Lower Mezzanine
363,42nd St - Port Authority Bus Term,,Lower Mezzanine To Upper Mezzanine
369,Jay St - Metrotech,NE corner of Jay and Willoughby Streets,Street To Mezzanine
369,Jay St - Metrotech,,Mezzanine And Downtown
369,Jay St - Metrotech,,Mezzanine To Platform
369,Jay St - Metrotech,,Mezzanine And Uptown
369,Jay St - Metrotech,,Platform To Mezzanine
369,Jay St - Metrotech,,Mezzanine To Street (South) Willoughby St
369,Jay St - Metrotech,,Mezzanine To Street (North) Myrtle Ave
369,Jay St - Metrotech,,Mezzanine To Street (South) Willoughby St
369,Jay St - Metrotech,,Mezzanine To Platform
369,Jay St - Metrotech,,Mezzanine To Street (North) Myrtle Ave
369,Jay St - Metrotech,,Lower Mezzanine To Platform
373,Flushing Ave,SW corner of Flushing Avenue and Broadway,Street To Mezzanine
373,Flushing Ave,,Mezzanine To Uptown
373,Flushing Ave,,Mezzanine To Downtown
400,125th St,SW corner of 125 Street and Saint Nicholas Avenue,Street To Mezzanine
400,125th St,,Mezzanine And Downtown
400,125th St,,Mezzanine And Uptown
405,Chambers St,NW corner of Hudson and Chambers Streets,Street To Mezzanine
405,Chambers St,,Mezzanine To Uptown
405,Chambers St,,Mezzanine To Downtown
409,Fordham Rd,SE corner of Jerome Avenue and Fordham Road,Street To Mezzanine
409,Fordham Rd,,Mezzanine To Uptown
409,Fordham Rd,,Mezzanine To Downtown
41,Church Ave,NW corner of Church Avenue and McDonald Avenue,Street To Mezzanine
41,Church Ave,,Mezzanine To Uptown
41,Church Ave,,Mezzanine To Downtown
414,Fulton St,,33 Maiden Lane To Passageway
414,Fulton St,,Passageway Transfer
414,Fulton St,,Cortlandt St R Line
414,Fulton St,,Corbin Building
414,Fulton St,,Transit Center
414,Fulton St,,Transit Center
414,Fulton St,,Lower Mezzanine To Platform
414,Fulton St,,Transit Center
414,Fulton St,,4/5 & R/W Underpass
414,Fulton St,,Cortlandt St R Line
414,Fulton St,,Corbin Building
414,Fulton St,,Transit Center
414,Fulton St,,3 Landings
414,Fulton St,,Platform To Mezzanine
414,Fulton St,,Upper Mezzanine To Street
414,Fulton St,,Platform To Lower Mezzanine
